,SubID,Handedness,Eye_Dominance,Thal,Caud,Puta,Pall,Hipp,Amyg,Accu,Landmark_PSE,Landmark_MS,Target_PSE_Right,Target_PSE_Left,Target_PSE_Laterality,Target_MS,Target_MS_Right_Cue,Target_MS_Left_Cue,Target_MS_Laterality,Right_Correct_pct,Left_Correct_pct,Threshold_Difference,1-THALAMUS,2-AV,4-VA,5-VLa,6-VLP,7-VPL,8-Pul,9-LGN,10-MGN,11-CM,12-MD-Pf,13-Hb,14-MTT
0,1001,90,0.0,-0.004708535,0.106801654,-0.004449267,-0.002200566,0.022135598,-0.081606765,0.012224939,-0.402637409,0.18562874251497,-3.703253572,-2.756386441,-0.946867131,0.565464994,0.517394265,0.627131012,-0.109736747,0.890282132,0.842679128,0.047603004,-0.001089325,0.130801688,0.054325956,0.038961039,0.050203528,-0.03875969,-0.024021963,-0.068627451,-0.023622047,-0.026086957,-0.012605042,0.127272727,-0.090909091
1,1002,90,0.0,-0.00667357,0.026617058,-0.024406118,0.018223894,0.017871432,-0.063769149,-0.099150142,-0.087722666,-0.0705521472392638,-3.293679348,-1.629788185,-1.663891163,-0.174555626,0.010670361,-0.362507356,0.373177717,0.771879484,0.715529753,0.05634973,0.011048235,0.121495327,0.045801527,-0.070967742,0.045833333,0.06793049,0.012531328,0.0,0.047619048,-0.010752688,0.008573655,-0.137254902,0.113636364
2,1003,70,0.0,-0.004211019,0.011082694,-0.03133758,-0.03820598,-0.010473186,-0.004619649,-0.055956679,0.114167331,-0.147632311977716,-12953599.08,-46407463.43,,0.038382613,0.309785216,-0.20036637,0.510151586,0.933139535,0.880813953,,0.014091553,0.120274914,0.020484171,0.0,0.040524434,0.062801932,0.003506535,0.031496063,-0.012658228,0.102362205,-0.0206995,0.0,-0.011235955
3,1004,70,,-0.01117245,-0.010933364,-0.009334657,-0.054267948,0.085627334,-0.054006354,-0.027457927,-0.091533467,,-1.340339535,-8.402747514,,-0.169611626,-0.21651345,-0.123943543,-0.092569907,0.956435644,0.942231076,,0.012570438,-0.154228856,-0.030674847,-0.031914894,-0.045560748,-0.064814815,0.005257624,0.057142857,0.107692308,0.086757991,0.011869436,0.106382979,-0.023255814
4,1005,100,0.0,-0.009788832,0.035332029,-0.017756255,-0.02901354,0.045525457,-0.002367264,-0.018032787,-0.466726567,0.0680412371134021,-1.343426389,-1.102479809,-0.24094658,-0.044899054,0.204628698,-0.344814639,0.549443337,0.725165563,0.679465776,0.045699787,0.007198748,-0.041533546,0.052770449,0.077669903,0.035806954,0.051051051,-0.028474576,0.041666667,-0.014084507,0.008928571,0.002645503,-0.105263158,-0.063829787
5,1006,30,0.0,-0.00295753,0.032529659,0.002985632,-0.052832244,-0.010940919,0.010438413,-0.111954459,0.110177839,-0.337931034482759,-1.367316013,-1.394867693,0.02755168,-0.0547625,0.304800527,-0.392177873,0.6969784,0.810289389,0.80245023,0.007839159,-0.001963295,0.017793594,-0.01399689,0.018404908,-0.032258065,0.032258065,0.009853891,-0.031578947,0.044117647,-0.009259259,-0.037992832,-0.209302326,-0.014925373
6,1007,100,1.0,-0.014858491,0.05158393,-0.028958255,0.016986301,0.04109215,0.011111111,-0.153024911,-0.514955791,,1.59709222,1.486936334,,0.485440841,0.53478066,0.437633594,0.097147066,0.635208711,0.587360595,,0.009917205,0.146443515,0.066433566,0.1,0.043137255,0.02027027,-0.01876303,-0.03255814,-0.01986755,-0.059907834,-0.037151703,0.04,-0.058823529
7,1008,95,1.0,-0.008204003,0.007509387,-0.013179572,-0.042445569,-0.034897361,-0.02167514,-0.217948718,-0.099062397,0.121428571428571,-0.35336288,2.2665921,-2.61995498,0.155049917,0.173434845,0.137916905,0.03551794,0.680059524,0.6,0.080059524,0.01650507,-0.022508039,-0.009433962,0.021459227,0.022601708,-0.05620915,0.045138889,-0.137777778,-0.05027933,-0.008547009,0.008222644,0.148148148,-0.031578947
8,1009,85,1.0,-0.01825834,0.040737148,-0.058276503,0.002090176,-0.015468857,0.005071851,-0.0433213,-0.456744362,0.157894736842105,-2.000269165,-2.048939792,0.048670627,0.012177706,0.147725459,-0.124462389,0.272187848,0.824921136,0.816,0.008921136,0.006378987,0.02970297,0.062761506,0.070063694,0.03984324,-0.010714286,0.025049702,-0.024390244,-0.046153846,-0.117370892,-0.048939641,-0.058823529,0.012658228
9,1010,95,1.0,-0.009132128,0.024390244,0.006487673,0.033126294,0.005871364,-0.018334607,-0.06892895,-0.45473564,0.0121457489878543,-2.2057,-1.710000424,-0.495699576,0.107977625,0.249849698,-0.051944469,0.301794167,0.718248175,0.654761905,0.06348627,0.006893835,0.049773756,0.042357274,0.149171271,0.111111111,-0.028,-0.025254429,-0.004444444,-0.01754386,0.03030303,0.017770598,-0.071428571,-0.083333333
10,1011,100,1.0,-0.013810111,-0.00948213,-0.011206817,0.006106426,-0.010574018,0.022905759,-0.005791506,-0.742911177,-0.150537634408602,-2.492512898,-2.418942463,-0.073570435,-0.205345626,0.086302648,-0.391285139,0.477587787,0.81097561,0.814984709,-0.0040091,-0.000944109,-0.146443515,0.009784736,-0.023809524,-0.008287293,-0.042105263,0.003630496,-0.009090909,0.04,-0.018867925,0.001474926,-0.2,0.014492754
11,1012,100,1.0,-0.015642212,0.059260045,0.017674927,0.025569761,0.158965897,-0.016304348,-0.073263559,0.109953009,0.219178082191781,-1.563913475,-1.462178988,-0.101734487,-0.080542031,0.083648858,-0.291938684,0.375587542,0.902777778,0.886752137,0.016025641,0.006195393,0.046511628,0.041009464,-0.038674033,0.031141869,-0.029275809,0.02276176,0.168316832,0.104895105,-0.050847458,0.01212938,0.090909091,-0.052631579
12,1013,90,0.0,-0.004345727,0.030599477,-0.002749446,0.010035123,0.030089989,-0.123884327,-0.03784693,-0.554411815,0.0168776371308017,-0.842152729,-0.725270617,-0.116882112,0.210574907,0.41851913,0.029083816,0.389435314,0.693284936,0.663023679,0.030261257,0.01035934,0.024390244,0.04496124,0.014778325,0.032189974,-0.052117264,-0.012295082,0.106976744,0.033557047,0.049429658,-0.005540166,0.12,-0.023255814
13,1014,85,1.0,-0.021102627,0.001067887,-0.049195092,0.038783742,-0.036434005,0.052434457,-0.104540655,-0.12570592,0.0344827586206897,-1.416224953,-1.221346475,-0.194878478,0.429592367,0.433838852,0.426014644,0.007824208,0.697183099,0.666197183,0.030985915,-0.008040298,0.007407407,-0.009633911,0.0,0.008053691,-0.090909091,0.0121673,0.041860465,-0.030769231,-0.02020202,-0.037896365,-0.041666667,0.016949153
14,1015,90,0.0,-0.013297872,-0.055332131,-0.007321161,0.035655513,0.036575875,-0.018721756,-0.215500945,-0.328101514,-0.213675213675214,-1.478135218,-0.816418997,-0.661716221,-0.004039404,0.230655871,-0.189243277,0.419899148,0.810810811,0.732522796,0.078288014,-0.013521558,0.040892193,0.013745704,0.016216216,0.030644153,-0.027888446,-0.033938978,-0.051162791,0.063829787,-0.091703057,-0.018284107,-0.020408163,-0.097560976
15,1016,60,0.0,-0.009611184,0.02458888,-0.016530797,0.022237197,0.071281156,0.011690647,-0.124711316,0.173828672,0.0,1.958373457,6458964.633,,0.242650622,0.25670649,0.223541793,0.033164697,0.666666667,0.65010352,,0.001817081,-0.02745098,0.027131783,-0.034965035,0.029517639,0.020080321,-0.020206186,0.060606061,0.029850746,0.053191489,-0.011686144,-0.111111111,0.070422535
16,1017,25,1.0,-0.011444838,0.026044005,-0.028692505,-0.009831107,0.022689399,-0.019495046,-0.079662605,0.336419334,0.31547619047619,-323055.0297,-21934246.16,,-0.43186924,-0.443157063,-0.416922125,-0.026234938,0.849206349,0.8546042,,-0.009580838,0.053003534,0.044776119,-0.015873016,0.001197605,-0.061102832,0.00552868,0.087557604,0.06122449,-0.004048583,-0.006864989,0.107142857,-0.058823529
17,1018,90,1.0,-0.017706535,0.04339902,0.026870255,-0.02098849,-0.017273146,-0.035359116,-0.053543307,-0.109848811,-0.426356589147287,8.567182534,15390640.45,,0.100633047,0.186849196,0.007023578,0.179825618,0.573214286,0.521968366,,0.001375516,0.125827815,0.113484646,0.067961165,0.053861789,0.008894536,-0.05007776,0.013452915,-0.005780347,0.032490975,0.030079804,0.022222222,-0.008849558
18,1019,75,,-0.013292986,-0.07135096,0.034397163,-0.008079848,-0.02187206,0.05285512,0.017713366,0.588237117,0.11,-2.057987305,-1.510033923,-0.547953382,0.212529113,0.456841944,-0.114081327,0.570923271,0.827232796,0.755490483,0.071742313,0.009344207,-0.024054983,0.116546763,0.02970297,0.010399562,0.0,-0.060377358,0.004651163,-0.031847134,-0.13304721,-0.035238841,-0.214285714,0.019230769
