ID,State,Block_Number,Block_Question,Line_Lenght,Shift_Direction,Shift_Size,ITI,Trial_Onset,Stim_Onset,Stim_Offset,Response Time,Answer
1,3,1,Shorter,23,Left,1,1.8413686461417,1157.2218309,1159.04114,1159.2411259,NaN,None
2,3,1,Shorter,21,Left,1,1.30641201072083,1161.2437443,1162.5405381,1162.7403886,NaN,None
3,3,1,Shorter,22,Left,1,1.19116054532054,1164.7423918,1165.9230803,1166.1233245,NaN,None
4,3,1,Shorter,21,Left,1,1.06511940746915,1168.1250353,1169.1892774,1169.3893797,NaN,None
5,3,1,Shorter,23,Left,1,1.94601002139996,1171.3926112,1173.3385731,1173.538764,NaN,None
6,3,1,Shorter,23,Left,1,1.24476621674381,1175.5415602,1176.7883929,1176.9881068,NaN,None
7,3,1,Shorter,20,Right,1,1.625404182641,1178.9895208,1180.6210127,1180.82117,NaN,None
8,3,1,Shorter,22,Left,1,1.20667350246779,1182.8225407,1184.0203534,1184.220352,NaN,None
9,3,1,Shorter,23,Right,1,1.24174310398095,1186.2212449,1187.4698975,1187.6699136,NaN,None
10,4,1,Shorter,21,Left,1,1.74341259690923,1189.6707833,1191.4194087,1191.6192041,NaN,None
11,0,1,Shorter,20,Right,0,1.1560038151161,0,0,0,0,
12,0,1,Shorter,22,Right,0,1.8231722794832,0,0,0,0,
13,0,1,Shorter,20,Left,0,1.09398541934863,0,0,0,0,
14,0,1,Shorter,22,Left,0,1.97979772144264,0,0,0,0,
15,0,1,Shorter,23,Right,0,1.65322074697648,0,0,0,0,
16,0,1,Shorter,20,Left,0,1.2841143012586,0,0,0,0,
17,0,1,Shorter,21,Right,0,1.86723279868172,0,0,0,0,
18,0,1,Shorter,20,Left,0,1.0301398455804,0,0,0,0,
19,0,1,Shorter,21,Left,0,1.76093837778803,0,0,0,0,
20,0,1,Shorter,22,Right,0,1.89617697022506,0,0,0,0,
21,0,1,Shorter,23,Right,0,1.6188746494495,0,0,0,0,
22,0,1,Shorter,22,Right,0,1.72074550045889,0,0,0,0,
23,0,1,Shorter,23,Right,0,1.46385000580911,0,0,0,0,
24,0,1,Shorter,20,Right,0,1.75888642363439,0,0,0,0,
25,0,1,Shorter,21,Left,0,1.0071419749585,0,0,0,0,
26,0,1,Shorter,23,Left,0,1.19348585358219,0,0,0,0,
27,0,1,Shorter,20,Right,0,1.09145177439444,0,0,0,0,
28,0,1,Shorter,20,Left,0,1.16793258938195,0,0,0,0,
29,0,1,Shorter,21,Left,0,1.94224811296934,0,0,0,0,
30,0,1,Shorter,22,Left,0,1.84943222175199,0,0,0,0,
31,0,1,Shorter,20,Left,0,1.13728307287999,0,0,0,0,
32,0,1,Shorter,20,Left,0,1.66072541777012,0,0,0,0,
33,0,1,Shorter,20,Right,0,1.03848968923255,0,0,0,0,
34,0,1,Shorter,21,Left,0,1.14816305935392,0,0,0,0,
35,0,1,Shorter,21,Left,0,1.18476410229602,0,0,0,0,
36,0,1,Shorter,20,Right,0,1.64536193925657,0,0,0,0,
37,0,1,Shorter,20,Left,0,1.85655328320538,0,0,0,0,
38,0,1,Shorter,23,Right,0,1.85337570415382,0,0,0,0,
39,0,1,Shorter,22,Left,0,1.49403807198748,0,0,0,0,
40,0,1,Shorter,20,Left,0,1.78087744725776,0,0,0,0,
41,0,1,Shorter,20,Right,0,1.27465381487197,0,0,0,0,
42,0,1,Shorter,23,Left,0,1.96737974195428,0,0,0,0,
43,0,1,Shorter,23,Right,0,1.99052933430247,0,0,0,0,
44,0,1,Shorter,20,Left,0,1.08444904850706,0,0,0,0,
45,0,1,Shorter,22,Right,0,1.32979341686838,0,0,0,0,
46,0,1,Shorter,20,Right,0,1.26829876589523,0,0,0,0,
47,0,1,Shorter,22,Left,0,1.21592281716525,0,0,0,0,
48,0,1,Shorter,21,Right,0,1.76702175788653,0,0,0,0,
49,0,1,Shorter,21,Right,0,1.36505444046685,0,0,0,0,
50,0,1,Shorter,21,Right,0,1.15401727623237,0,0,0,0,
51,0,1,Shorter,22,Right,0,1.16502199689807,0,0,0,0,
52,0,1,Shorter,21,Right,0,1.89336397002243,0,0,0,0,
53,0,1,Shorter,21,Left,0,1.94578980718842,0,0,0,0,
54,0,1,Shorter,21,Left,0,1.51746738689757,0,0,0,0,
55,0,1,Shorter,21,Right,0,1.01837339671098,0,0,0,0,
56,0,1,Shorter,23,Left,0,1.41930582360718,0,0,0,0,
57,0,1,Shorter,22,Left,0,1.12208514917994,0,0,0,0,
58,0,1,Shorter,20,Right,0,1.95184785475423,0,0,0,0,
59,0,1,Shorter,23,Left,0,1.27018034787255,0,0,0,0,
60,0,1,Shorter,22,Right,0,1.89365323067401,0,0,0,0,
61,0,1,Shorter,23,Right,0,1.89519169775135,0,0,0,0,
62,0,1,Shorter,20,Right,0,1.7755320808496,0,0,0,0,
63,0,1,Shorter,23,Left,0,1.90882092788049,0,0,0,0,
64,0,1,Shorter,22,Right,0,1.01668037759263,0,0,0,0,
65,0,1,Shorter,22,Right,0,1.95928872305705,0,0,0,0,
66,0,1,Shorter,22,Right,0,1.07525263362048,0,0,0,0,
67,0,1,Shorter,22,Right,0,1.28513346263804,0,0,0,0,
68,0,1,Shorter,23,Right,0,1.48811713661704,0,0,0,0,
69,0,1,Shorter,22,Left,0,1.97057173482608,0,0,0,0,
70,0,1,Shorter,21,Right,0,1.5681132878426,0,0,0,0,
71,0,1,Shorter,23,Left,0,1.27397034041481,0,0,0,0,
72,0,1,Shorter,22,Left,0,1.1290833606079,0,0,0,0,
73,0,1,Shorter,21,Right,0,1.15519206080367,0,0,0,0,
74,0,1,Shorter,21,Right,0,1.26881183030746,0,0,0,0,
75,0,1,Shorter,23,Right,0,1.4338894397621,0,0,0,0,
76,0,1,Shorter,20,Left,0,1.39590346120821,0,0,0,0,
77,0,1,Shorter,23,Left,0,1.42524649133224,0,0,0,0,
78,0,1,Shorter,23,Right,0,1.61438926917457,0,0,0,0,
79,0,1,Shorter,21,Right,0,1.44680539797493,0,0,0,0,
80,0,1,Shorter,22,Left,0,1.01202333757394,0,0,0,0,
81,0,2,Longer,20,Left,0,1.03427089486592,0,0,0,0,
82,0,2,Longer,21,Left,0,1.39877044709046,0,0,0,0,
83,0,2,Longer,22,Left,0,1.97945008126624,0,0,0,0,
84,0,2,Longer,21,Right,0,1.54276891127663,0,0,0,0,
85,0,2,Longer,21,Left,0,1.91238704587385,0,0,0,0,
86,0,2,Longer,22,Right,0,1.32415902047548,0,0,0,0,
87,0,2,Longer,23,Right,0,1.2905165223464,0,0,0,0,
88,0,2,Longer,23,Left,0,1.87897384659933,0,0,0,0,
89,0,2,Longer,21,Left,0,1.77914419211178,0,0,0,0,
90,0,2,Longer,20,Right,0,1.39441210742594,0,0,0,0,
91,0,2,Longer,23,Left,0,1.88232596696881,0,0,0,0,
92,0,2,Longer,21,Right,0,1.42566847451898,0,0,0,0,
93,0,2,Longer,23,Right,0,1.46637798245207,0,0,0,0,
94,0,2,Longer,23,Right,0,1.42493118352488,0,0,0,0,
95,0,2,Longer,20,Right,0,1.4552100420411,0,0,0,0,
96,0,2,Longer,22,Left,0,1.69542455738493,0,0,0,0,
97,0,2,Longer,23,Left,0,1.0955782281254,0,0,0,0,
98,0,2,Longer,23,Right,0,1.73346031674018,0,0,0,0,
99,0,2,Longer,20,Right,0,1.13001751888102,0,0,0,0,
100,0,2,Longer,20,Left,0,1.49652871406846,0,0,0,0,
101,0,2,Longer,22,Left,0,1.25965848459518,0,0,0,0,
102,0,2,Longer,22,Right,0,1.59166667531897,0,0,0,0,
103,0,2,Longer,23,Right,0,1.22761817776021,0,0,0,0,
104,0,2,Longer,22,Left,0,1.95511771126703,0,0,0,0,
105,0,2,Longer,21,Left,0,1.06300950137002,0,0,0,0,
106,0,2,Longer,20,Right,0,1.18324715994389,0,0,0,0,
107,0,2,Longer,21,Left,0,1.62424198724063,0,0,0,0,
108,0,2,Longer,21,Left,0,1.29140577571371,0,0,0,0,
109,0,2,Longer,22,Left,0,1.13718742197473,0,0,0,0,
110,0,2,Longer,23,Left,0,1.18893346303136,0,0,0,0,
111,0,2,Longer,20,Left,0,1.95661705112295,0,0,0,0,
112,0,2,Longer,21,Right,0,1.29661309204133,0,0,0,0,
113,0,2,Longer,21,Left,0,1.23720287531731,0,0,0,0,
114,0,2,Longer,21,Left,0,1.66015752767331,0,0,0,0,
115,0,2,Longer,20,Left,0,1.00429596790761,0,0,0,0,
116,0,2,Longer,20,Left,0,1.07816846795587,0,0,0,0,
117,0,2,Longer,23,Right,0,1.30958436448848,0,0,0,0,
118,0,2,Longer,23,Left,0,1.22397070703542,0,0,0,0,
119,0,2,Longer,21,Right,0,1.69528939852317,0,0,0,0,
120,0,2,Longer,20,Left,0,1.70023189535287,0,0,0,0,
121,0,2,Longer,21,Right,0,1.85181528558927,0,0,0,0,
122,0,2,Longer,20,Right,0,1.55905959601035,0,0,0,0,
123,0,2,Longer,21,Right,0,1.57033238449794,0,0,0,0,
124,0,2,Longer,23,Right,0,1.53092032651878,0,0,0,0,
125,0,2,Longer,20,Left,0,1.85888634472101,0,0,0,0,
126,0,2,Longer,23,Left,0,1.44634583810945,0,0,0,0,
127,0,2,Longer,23,Left,0,1.38338123636896,0,0,0,0,
128,0,2,Longer,22,Right,0,1.59535873278815,0,0,0,0,
129,0,2,Longer,21,Left,0,1.30503997365213,0,0,0,0,
130,0,2,Longer,21,Right,0,1.10110778038748,0,0,0,0,
131,0,2,Longer,20,Right,0,1.37193936744717,0,0,0,0,
132,0,2,Longer,20,Right,0,1.22215531172577,0,0,0,0,
133,0,2,Longer,20,Right,0,1.64322662769575,0,0,0,0,
134,0,2,Longer,23,Right,0,1.77665622667467,0,0,0,0,
135,0,2,Longer,22,Right,0,1.43003405236137,0,0,0,0,
136,0,2,Longer,23,Right,0,1.62106152759493,0,0,0,0,
137,0,2,Longer,23,Left,0,1.2790746595179,0,0,0,0,
138,0,2,Longer,22,Right,0,1.47804777940958,0,0,0,0,
139,0,2,Longer,22,Left,0,1.31474159004513,0,0,0,0,
140,0,2,Longer,21,Right,0,1.82716990433126,0,0,0,0,
141,0,2,Longer,20,Left,0,1.74316126578952,0,0,0,0,
142,0,2,Longer,22,Right,0,1.14431119041034,0,0,0,0,
143,0,2,Longer,22,Right,0,1.06826509405088,0,0,0,0,
144,0,2,Longer,20,Right,0,1.53213653843175,0,0,0,0,
145,0,2,Longer,22,Left,0,1.74395528341434,0,0,0,0,
146,0,2,Longer,20,Left,0,1.83573361908437,0,0,0,0,
147,0,2,Longer,20,Right,0,1.72066298450074,0,0,0,0,
148,0,2,Longer,23,Right,0,1.88762261235267,0,0,0,0,
149,0,2,Longer,21,Right,0,1.1628533781243,0,0,0,0,
150,0,2,Longer,22,Left,0,1.20123984499344,0,0,0,0,
151,0,2,Longer,21,Left,0,1.88196153233616,0,0,0,0,
152,0,2,Longer,22,Right,0,1.46195893545546,0,0,0,0,
153,0,2,Longer,23,Left,0,1.18704983361382,0,0,0,0,
154,0,2,Longer,21,Right,0,1.72488225638391,0,0,0,0,
155,0,2,Longer,23,Left,0,1.88355263801848,0,0,0,0,
156,0,2,Longer,22,Right,0,1.79801125094142,0,0,0,0,
157,0,2,Longer,20,Left,0,1.84297232341839,0,0,0,0,
158,0,2,Longer,22,Right,0,1.53804628218258,0,0,0,0,
159,0,2,Longer,22,Left,0,1.20958907392885,0,0,0,0,
160,0,2,Longer,22,Left,0,1.53044545657936,0,0,0,0,
161,0,3,Shorter,22,Left,0,1.84330239392576,0,0,0,0,
162,0,3,Shorter,22,Left,0,1.21534030690066,0,0,0,0,
163,0,3,Shorter,20,Left,0,1.71672587702895,0,0,0,0,
164,0,3,Shorter,23,Left,0,1.86266831762266,0,0,0,0,
165,0,3,Shorter,20,Right,0,1.47126432864654,0,0,0,0,
166,0,3,Shorter,20,Left,0,1.46050402858685,0,0,0,0,
167,0,3,Shorter,20,Left,0,1.94252821436293,0,0,0,0,
168,0,3,Shorter,20,Left,0,1.62834258872586,0,0,0,0,
169,0,3,Shorter,22,Right,0,1.80638662045252,0,0,0,0,
170,0,3,Shorter,21,Left,0,1.40154020562517,0,0,0,0,
171,0,3,Shorter,23,Right,0,1.32139434546632,0,0,0,0,
172,0,3,Shorter,23,Right,0,1.37880606707163,0,0,0,0,
173,0,3,Shorter,20,Right,0,1.71896948797533,0,0,0,0,
174,0,3,Shorter,23,Right,0,1.1930640449619,0,0,0,0,
175,0,3,Shorter,23,Right,0,1.48998678101222,0,0,0,0,
176,0,3,Shorter,22,Right,0,1.12077079850787,0,0,0,0,
177,0,3,Shorter,21,Left,0,1.13991988952045,0,0,0,0,
178,0,3,Shorter,22,Left,0,1.94719537835474,0,0,0,0,
179,0,3,Shorter,21,Right,0,1.63094338763128,0,0,0,0,
180,0,3,Shorter,21,Right,0,1.43865567877919,0,0,0,0,
181,0,3,Shorter,23,Left,0,1.7077616225441,0,0,0,0,
182,0,3,Shorter,23,Right,0,1.52964637741849,0,0,0,0,
183,0,3,Shorter,22,Right,0,1.65242692460298,0,0,0,0,
184,0,3,Shorter,20,Right,0,1.77818427310827,0,0,0,0,
185,0,3,Shorter,22,Right,0,1.61801787726318,0,0,0,0,
186,0,3,Shorter,23,Right,0,1.50208736195039,0,0,0,0,
187,0,3,Shorter,21,Left,0,1.48537246892049,0,0,0,0,
188,0,3,Shorter,21,Left,0,1.1101496455634,0,0,0,0,
189,0,3,Shorter,20,Left,0,1.91654985716382,0,0,0,0,
190,0,3,Shorter,22,Right,0,1.43261859429789,0,0,0,0,
191,0,3,Shorter,21,Right,0,1.4269982576802,0,0,0,0,
192,0,3,Shorter,22,Left,0,1.02928613328605,0,0,0,0,
193,0,3,Shorter,23,Right,0,1.51042636095327,0,0,0,0,
194,0,3,Shorter,22,Left,0,1.9637028690018,0,0,0,0,
195,0,3,Shorter,21,Left,0,1.27535027931467,0,0,0,0,
196,0,3,Shorter,21,Left,0,1.74341144015479,0,0,0,0,
197,0,3,Shorter,20,Left,0,1.11680254859378,0,0,0,0,
